,avg consump,coords,name,watervalue
0,7051,"[120.967949, 17.95706]",Abra,10390
1,8177,"[125.57724, 9.45679]",Agusan del Norte,8988
2,5919,"[125.910873, 8.85625]",Agusan del Sur,2513
3,6891,"[122.436668, 11.59833]",Aklan,4108
4,5622,"[123.287643, 13.04923]",Albay,11356
5,5461,"[121.920853, 10.42076]",Antique,9476
6,7223,"[121.33075, 17.85327]",Apayao,7274
7,8257,"[121.574753, 15.59574]",Aurora,9356
8,6455,"[121.968613, 6.28222]",Basilan,5057
9,9337,"[120.623627, 14.36788]",Bataan,14216
10,5444,"[121.813606, 20.334721]",Batanes,11164
11,7471,"[121.085281, 13.57333]",Batangas,8594
12,5212,"[120.79335, 16.919041]",Benguet,8158
13,6803,"[124.266319, 11.58278]",Biliran,8726
14,8409,"[123.921669, 9.48583]",Bohol,2499
15,6139,"[124.891457, 8.59255]",Bukidnon,11906
16,7134,"[121.002136, 14.737242]",Bulacan,6839
17,6811,"[122.32695, 18.248171]",Cagayan,3577
18,5695,"[123.106796, 14.047]",Camarines Norte,7242
19,8586,"[123.058777, 13.49125]",Camarines Sur,7644
20,7886,"[124.710121, 9.25738]",Camiguin,3572
21,9560,"[122.881073, 11.44462]",Capiz,9605
22,5766,"[124.335548, 13.56307]",Catanduanes,9129
23,7462,"[120.615829, 14.26396]",Cavite,13165
24,6356,"[123.389549, 9.43467]",Cebu,12694
25,5166,"[125.832642, 7.26979]",Compostela Valley,10988
26,6128,"[125.684753, 6.96153]",Davao del Norte,10330
27,6597,"[125.397781, 5.43583]",Davao del Sur,4704
28,6796,"[126.068848, 6.62813]",Davao Oriental,10981
29,7022,"[125.642502, 9.92667]",Dinagat Islands,8858
30,6130,"[125.957024, 10.77604]",Eastern Samar,11496
31,7867,"[122.59803, 10.32855]",Guimaras,8097
32,6849,"[121.439423, 17.07999]",Ifugao,14005
33,6543,"[120.415558, 17.924999]",Ilocos Norte,5576
34,9761,"[120.390953, 17.50012]",Ilocos Sur,2857
35,6182,"[122.773064, 10.93785]",Iloilo,9482
36,99999,"[122.470398, 16.91995]",Isabela,99999
37,8433,"[121.442787, 17.664101]",Kalinga,8365
38,6887,"[120.413719, 16.91852]",La Union,13458
39,8641,"[121.556396, 14.41308]",Laguna,3251
40,6169,"[123.621933, 7.82859]",Lanao del Norte,8170
41,5995,"[124.01667, 7.63528]",Lanao del Sur,14294
42,5821,"[124.748917, 10.24652]",Leyte,7808
43,7283,"[124.229446, 7.17361]",Maguindanao,5767
44,8574,"[122.001541, 13.19066]",Marinduque,2957
45,8358,"[122.984169, 11.71056]",Masbate,6384
46,5223,"[120.979721, 14.493055]",Metropolitan Manila,7161
47,8254,"[123.777237, 8.06518]",Misamis Occidental,11615
48,6814,"[124.644493, 8.49252]",Misamis Oriental,7370
49,6084,"[121.554703, 17.1689]",Mountain Province,6019
50,8916,"[122.435219, 9.64382]",Negros Occidental,13846
51,9131,"[123.271111, 9.08476]",Negros Oriental,10701
52,6330,"[124.537987, 7.68187]",North Cotabato,12613
53,8217,"[124.099716, 12.29028]",Northern Samar,2582
54,7874,"[120.988037, 16.12756]",Nueva Ecija,4770
55,5787,"[121.341431, 16.746901]",Nueva Vizcaya,4182
56,9115,"[121.021942, 12.20611]",Occidental Mindoro,8011
57,8006,"[121.435738, 12.20257]",Oriental Mindoro,3635
58,9729,"[117.313889, 7.51417]",Palawan,3801
59,8325,"[120.616669, 14.8]",Pampanga,8564
60,9640,"[119.865051, 15.8117]",Pangasinan,10017
61,7567,"[125.221657, 10.43444]",Quezon,3545
62,9572,"[121.499771, 16.63361]",Quirino,4259
63,5215,"[121.25219, 14.30791]",Rizal,4013
64,5765,"[121.936394, 12.09722]",Romblon,8752
65,5380,"[125.191673, 11.12556]",Samar,4873
66,6336,"[124.396378, 6.213]",Sarangani,11772
67,8403,"[124.196243, 7.19008]",Shariff Kabunsuan,6575
68,9592,"[123.604477, 9.30056]",Siquijor,2839
69,9270,"[124.089722, 12.54889]",Sorsogon,14965
70,5741,"[124.788612, 6.60905]",South Cotabato,13991
71,5001,"[125.073608, 9.89472]",Southern Leyte,13955
72,6709,"[124.655609, 6.87044]",Sultan Kudarat,12374
73,9620,"[120.801353, 5.45708]",Sulu,3410
74,6631,"[125.870209, 9.54064]",Surigao del Norte,13815
75,5833,"[126.417503, 7.96417]",Surigao del Sur,2725
76,6275,"[120.630074, 15.73335]",Tarlac,7628
77,5975,"[119.466942, 4.58694]",Tawi-Tawi,3143
78,9001,"[120.082848, 14.75048]",Zambales,9501
79,6379,"[122.094673, 7.53152]",Zamboanga del Norte,10341
80,9596,"[122.062233, 6.87278]",Zamboanga del Sur,7759
81,5173,"[122.84063, 7.27694]",Zamboanga Sibugay,11712
